"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"E02_T001_S001",166452,161833,161797,161483,161483,161465,161404,0.969672938745104
"E02_T002_S001",116003,112931,112912,112678,112678,112664,112582,0.970509383378016
"E02_T002_S002",2,2,2,2,2,2,2,1
"E02_T002_S004",8,8,8,8,8,8,8,1
"E02_T002_S005",507,500,499,499,499,499,499,0.98422090729783
"E02_T003_S001",292192,282060,281997,281441,281441,281407,281271,0.962623891140072
"E02_T003_S003",4,4,4,4,4,4,4,1
"E02_T003_S007",21,21,21,21,21,21,21,1
"E02_T003_S009",740,700,700,699,699,699,699,0.944594594594595
"E02_T004_S001",342623,331480,331436,330868,330868,330812,330646,0.965043210759348
"E02_T004_S002",94,94,94,94,94,94,94,1
"E02_T004_S003",94,93,93,91,91,91,91,0.968085106382979
"E02_T004_S004",308,303,303,302,302,302,302,0.980519480519481
"E02_T004_S006",1,1,1,1,1,1,1,1
"E02_T004_S007",291,283,283,283,283,283,283,0.972508591065292
"E02_T005_S001",308185,297556,297504,296888,296888,296853,296710,0.962765871148823
"E02_T005_S002",99,99,99,99,99,99,99,1
"E02_T005_S003",74,72,72,72,72,72,72,0.972972972972973
"E02_T005_S004",307,302,302,302,302,302,300,0.977198697068404
"E02_T005_S007",338,333,333,333,333,333,332,0.982248520710059
"E02_T006_S001",362285,349260,349201,348419,348419,348364,347976,0.960503471024194
"E02_T006_S002",84,83,83,83,83,83,82,0.976190476190476
"E02_T006_S003",132,131,131,131,131,131,131,0.992424242424242
"E02_T006_S004",351,342,342,340,340,340,336,0.957264957264957
"E02_T006_S007",447,433,433,433,433,433,431,0.96420581655481
"E02_T007_S001",139790,135113,135069,134724,134724,134700,134633,0.963108949137993
"E02_T008_S001",192318,187521,187483,187123,187123,187097,186966,0.972171091629489
"E02_T008_S002",233,233,233,232,232,232,232,0.995708154506438
"E02_T008_S003",18,14,14,14,14,14,14,0.777777777777778
"E02_T008_S004",97,93,93,93,93,93,93,0.958762886597938
"E02_T008_S005",529,525,525,524,524,524,524,0.99054820415879
"E02_T008_S007",32,32,32,32,32,32,32,1
"E02_T008_S009",346,340,339,339,339,339,339,0.979768786127168
"E02_T009_S001",98713,95586,95564,95366,95366,95352,95323,0.965658018700678
"E02_T009_S003",216,211,211,210,210,210,210,0.972222222222222
"E02_T009_S007",475,464,464,463,463,463,463,0.974736842105263
"E02_T009_S009",301,294,294,294,294,294,294,0.976744186046512
"E02_T010_S001",375118,361108,361026,360320,360320,360277,360058,0.959852633038137
"E02_T010_S002",117,112,112,112,112,112,112,0.957264957264957
"E02_T010_S003",122,118,118,117,117,117,117,0.959016393442623
"E02_T010_S004",269,265,265,264,264,264,263,0.977695167286245
"E02_T010_S005",9024,8868,8868,8867,8867,8867,8867,0.98260195035461
"E02_T010_S007",329,327,327,325,325,325,325,0.987841945288754
"E02_T010_S008",2,2,2,2,2,2,2,1
"E02_T010_S009",1,1,1,1,1,1,1,1
"E02_T011_S001",422345,405834,405745,404976,404976,404924,404640,0.958079295362796
"E02_T011_S002",151,148,148,148,148,148,147,0.973509933774834
"E02_T011_S003",150,148,148,148,148,148,148,0.986666666666667
"E02_T011_S004",404,395,395,395,395,395,395,0.977722772277228
"E02_T011_S005",14684,14421,14419,14414,14414,14414,14414,0.981612639607736
"E02_T011_S006",7,7,7,7,7,7,7,1
"E02_T011_S007",462,447,447,445,445,445,444,0.961038961038961
"E02_T011_S008",11,10,10,10,10,10,10,0.909090909090909
"E02_T012_S001",332784,320896,320829,320208,320208,320164,319940,0.961404394442041
"E02_T012_S002",90,88,88,87,87,87,87,0.966666666666667
"E02_T012_S003",156,145,145,143,143,143,143,0.916666666666667
"E02_T012_S004",270,266,266,266,266,266,263,0.974074074074074
"E02_T012_S006",4,4,4,4,4,4,4,1
"E02_T012_S007",356,346,346,346,346,346,342,0.960674157303371
"E02_T012_S008",2,2,2,2,2,2,2,1
"E02_T012_S009",5714,5548,5545,5526,5526,5526,5524,0.966748337416871
